pitch_type,game_date,release_speed,release_spin_rate,release_extension,pfx_x,pfx_z,game_pk,inning,inning_topbot,at_bat_number,pitch_number,game_type,n_thruorder_pitcher,pitcher_days_since_prev_game,p_throws,stand,player_name
FF,2024-04-02,95.59774082158076,2443.5984435068876,6.215013245283357,-0.5368267483453852,1.220638023258736,900000,1,Top,1,1,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.45448753687691,2625.9853247370233,6.453938263822885,0.42862416173631446,0.29425093410802516,900000,1,Top,1,2,R,1,,R,L,"Demonstration, Synthetic"
SI,2024-04-02,93.97326968638356,2236.646558738604,6.417224650996591,-1.153639225391541,0.7760654186127515,900000,1,Top,1,3,R,1,,R,R,"Demonstration, Synthetic"
CH,2024-04-02,87.67062772651849,1811.3802528797085,6.307640583274895,-0.7860394273187178,0.5513111287314066,900000,1,Top,1,4,R,1,,R,R,"Demonstration, Synthetic"
FF,2024-04-02,95.72205786759486,2434.4418842142536,6.367599734717741,-0.3684487454855738,1.3501066747548747,900000,1,Top,2,1,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,85.32892482709595,2695.1146879292714,6.2758739246875574,0.42661141181065393,0.16739883114662146,900000,1,Top,2,2,R,1,,R,R,"Demonstration, Synthetic"
SI,2024-04-02,93.6485276038362,2235.5555246885797,6.3750811077960154,-0.9997124059263371,0.8698038535015071,900000,1,Top,2,3,R,1,,R,R,"Demonstration, Synthetic"
CH,2024-04-02,86.6126233480648,1876.9366131629397,6.371416916987506,-0.8487764657186196,0.525078564389219,900000,1,Top,2,4,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,85.71138887518958,2590.848592382935,6.337309213036905,0.38786077483045134,0.1495190233177386,900000,1,Top,3,1,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.69853733312281,2596.504134196809,6.428619160881844,0.4200422640876509,0.17890337401497852,900000,1,Top,3,2,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.24173995678812,2402.860305805176,6.4170791362989075,-0.5041756306852216,1.3558943807724546,900000,1,Top,3,3,R,1,,R,L,"Demonstration, Synthetic"
CH,2024-04-02,87.32170746900972,1839.818536652224,6.385685776118566,-0.8272990088204468,0.4764636541739652,900000,1,Top,3,4,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.71280153733107,2611.2182146519376,6.340508933911209,0.46714956837615257,0.3283601045024095,900000,1,Top,4,1,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.8418086532774,2573.289729995807,6.472860479359679,0.4609940662333144,0.17653185809676997,900000,1,Top,4,2,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.54983634044018,2557.310315595031,6.31934501430912,-0.36231334246546787,1.2335772590773908,900000,1,Top,4,3,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.63354706679019,2491.816241654788,6.336924568118039,-0.429745527072064,1.384448911678823,900000,2,Top,4,4,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.61262072988937,2491.856021562996,6.28254157837657,-0.5231287836254177,1.247310857984275,900000,2,Top,5,1,R,1,,R,R,"Demonstration, Synthetic"
CH,2024-04-02,87.65070867926114,1909.533665253141,6.311266445333313,-0.8196603856617177,0.6101654695182763,900000,2,Top,5,2,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.30195310921388,2686.9308769837785,6.33209129464956,0.4645498074762733,0.2605944015072227,900000,2,Top,5,3,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,86.84439310083211,2605.881835805812,6.500147568902533,0.3988053989664708,0.23275699830704943,900000,2,Top,5,4,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,96.21481530084218,2411.6040440923734,6.291673292980511,-0.4892487864040678,1.1711626582156807,900000,2,Top,6,1,R,1,,R,R,"Demonstration, Synthetic"
FF,2024-04-02,96.69730570390007,2380.9430632291283,6.307644845810714,-0.5026116466900553,1.2943442467448467,900000,2,Top,6,2,R,1,,R,R,"Demonstration, Synthetic"
SI,2024-04-02,93.51804272380429,2154.6420590495854,6.2622571537236285,-0.9397851883007212,0.9243040301544244,900000,2,Top,6,3,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,96.46578043213052,2426.063817808778,6.271051433725741,-0.4647166707565266,1.3466402545637046,900000,2,Top,6,4,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,84.97605557479824,2575.5498553700436,6.330946100482026,0.4340167505994627,0.26393019337757534,900000,2,Top,7,1,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,85.71061164009669,2630.650003965434,6.378140512671936,0.45318932085467206,0.25000506358548485,900000,2,Top,7,2,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,86.98676581718293,2620.572127008765,6.517453464714447,0.5444012941485146,0.27315079315339,900000,2,Top,7,3,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.76212519088645,2377.693254321078,6.388411472271328,-0.5546751592184516,1.355646308893491,900000,2,Top,7,4,R,1,,R,R,"Demonstration, Synthetic"
CH,2024-04-02,87.76258982090695,1777.822005513059,6.354197343868499,-0.8175302711482133,0.5437907039160423,900000,2,Top,8,1,R,1,,R,R,"Demonstration, Synthetic"
CH,2024-04-02,86.40400951116881,1859.9165632866604,6.331051978839225,-0.7894092547176532,0.567759639381226,900000,2,Top,8,2,R,1,,R,L,"Demonstration, Synthetic"
SL,2024-04-02,86.46513366561463,2485.813084138892,6.227291087606709,0.5018296808218913,0.23028848661262635,900000,3,Top,8,3,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,96.26002696827132,2381.5615968042434,6.396612419359016,-0.3460613036754034,1.3706447133386617,900000,3,Top,8,4,R,1,,R,R,"Demonstration, Synthetic"
SI,2024-04-02,94.53343988767841,2363.3557442009064,6.3262743237172225,-1.0460072510484477,0.7081545706019834,900000,3,Top,9,1,R,1,,R,R,"Demonstration, Synthetic"
FF,2024-04-02,95.54449305521335,2373.4102644975337,6.443699767477385,-0.4049478606761244,1.4092387694588082,900000,3,Top,9,2,R,1,,R,L,"Demonstration, Synthetic"
FF,2024-04-02,95.07344211037031,2347.8173833825394,6.308537612610698,-0.3593262940033967,1.3382520286538617,900000,3,Top,9,3,R,1,,R,R,"Demonstration, Synthetic"
SL,2024-04-02,85.05205669111288,2534.108371181374,6.296308777808274,0.4687205682930746,0.3193187221664018,900000,3,Top,9,4,R,1,,R,R,"Demonstration, Synthetic"
